project,revenue_total,expense_total,profit
AE Testing,0.0,128576.9,-128576.9
BJEV,1475564.0006,250000.0,1225564.0006
BYD,620000.0102,480002.525,139997.4852
DFM,1199999.9982000003,725807.59,474192.4082000003
FE3AH,999998.0004,1795738.615,-795740.6146
FE5AB/6AB,1590332.8082,3990524.370900001,-2400191.5627000006
GAC,1679999.9996000002,38775.61,1641224.3896
GAC CCD,1349999.994,0.0,1349999.994
GE12B,950000.0052,923637.095,26362.910200000042
GE13,1619099.968,5657050.288400001,-4037950.3204000005
HMI,0.0,295647.54,-295647.54
RBJAC,2046000.0008,825000.0,1221000.0008
UAES,128790.0,0.0,128790.0
V&V Testing,0.0,112475.0,-112475.0
