parameter,chinese
KbCRTINT_AChODOAhIntgDbF_flag,使能累计充电总安时
KlCRTINT_AChODOAhIntgDbV_Ah,标定用累计充电总安时
KbCRTINT_ADChODOAhIntgDbF_flag,使能用初始EEPROM历史累计放电总安时
KlCRTINT_ADChODOAhIntgDbV_Ah,标定用初始EEPROM历史累计放电总安时
KbPWRCTL_BattSOCCal_flg,BMS功率控制模块SOC_使能位
KfPWRCTL_BattSOCCal_pct,BMS功率控制模块SOC
KbCTM_Curr_swt,系统电流开关
KbCTM_Curr_A,系统电流
KbCTM_CurrNeed_swt,最大允许电流开关
KbCTM_CurrNeed_A,最大允许电流
KbCTM_CurrErr_swt,系统电流检测电路故障开关
KbCTM_CurrErr_flg,系统电流检测电路故障
KbCEL_S2CMD_swt,S2开关命
KbCEL_S2CMD_enum,S2开关命
KbCTM_ChgVolt_swt,动力电池需求电压开关
KbCTM_ChgVolt_V,动力电池需求电压
KbCTM_CanErr_swt,动力电池系统内部通讯故障开关
KbCTM_CanErr_enum,动力电池系统内部通讯故障
KbCTM_HVOff_swt,高压下电请求开关
KbCTM_HVOff_enum,高压下电请求
KbBTM_WrmSumTiTest_flg,保温时间开关_架构三
KlBTM_WrmSumTi_CT_Test,保温时间_架构三
KbPWRCTL_RealSOCCal_flg,真实SOC标定开关
KePWRCTL_RealSOCCal_pct,真实SOC标定量
KbDBAL_CellUnbaSOCAhMdfy_flg,SOC输出的不均衡标志位使能
KeDBVL_CellUnbaSOCAhMdfy_enum,SOC输出的不均衡标志位赋值
KbPWRCTL_RealSOCAftDeal_flg,最终SOC标定开关
KePWRCTL_RealSOCAftDeal_pct,最终SOC标定量
KbBCM_WrmSumTiTest_flg,保温时间使能量
KlBCM_WrmSumTi_CT_Test,保温时间复写值
KlBCM_BattAvailCapForHeat_pct_Test,可用容量标定值
KbBCM_BattAvailCapForHeatpctTest_flg,可用容量标定开关
KbBCM_BattAvailCapForHeat_pct,可用容量限制
LfPWRCTL_SOH_pct,功率SOH
KbPWRCTL_BattSOHCal_flg,功率SOH_sw
KsTEMP_MaxTempUpRate1_CS,最高温度小于55度升高速率
KsTEMP_MaxTempUpRate2_CS,最高温度大于55度升高速率
KsTEMP_MaxTempDownRate_CS,最高温度下降速率
KsTEMP_MinTempUpRate1_CS,最低温度小于55度升高速率
KsTEMP_MinTempUpRate2_CS,最低温度大于55度升高速率
KsTEMP_MinTempDownRate_CS,最低温度下降速率
KbCRTINT_CCPBattAdptNumSwt_flg,标定窗口计数器
KbCRTINT_CCPBattAdptNum_enum,窗口计数器值
KbPWRCTL_TempFilterOnOrOff_flg,功率温度控制开关
KbTEMP_FilterMaxMinEn_flg,功率温度控制开关
LlSOC_CmltChgCpRaw_Ah_ovrdflg,电池包历史累积充电容量Debug开关
LlSOC_CmltChgCpRaw_Ah_ovrdval,电池包历史累积充电容量Debug数值
LlSOC_CmltDchCpRaw_Ah_ovrdflg,电池包历史累积充电容量Debug开关
LlSOC_CmltDchCpRaw_Ah_ovrdval,电池包历史累积放电容量Debug数值
LlSOC_BattStandgTi_min_ovrdflg,整车静置时间Debug开关
LlSOC_BattStandgTi_min_ovrdval,整车静置时间Debug数值
LlSOC_EEInAvlbCpAct_Ah_ovrdflg,真实可用容量存EE使能
LlSOC_EEInAvlbCpAct_Ah_ovrdval,真实可用容量存EE标定值
KeSOC_BattE2ErrDeSw_flg,CHECKCODE标定使能
KeSOC_BattE2ErrCHECKCODE_enum,CHECKCODE标定值
LlSOC_EEInBattRatedCp_Ah_ovrdflg,EE故障标志位标定值
LlSOC_EEInBattRatedCp_Ah_ovrdval,EE故障标志位使能
KbCCS_LsohSwitch_flg,LSOH标定使能
KfCCS_Lsoh_pct,LSOH标定值
KbCCS_SOHSwitch_flg,SOH标定使能
KfCCS_SOH_pct,SOH标定值
KbCCS_SumAhSwitch_flg,累积安时标定使能
KfCCS_SumChgAh_Ah,累积安时标定值
KbSOH_TiHVOFFSw_flg,整车断高压时间标定开关
KeSOH_TiHVOFF_min,整车断高压时间标定值
KbSOH_CCPLastSOHSw_flg,底层SOH标定开关
KuSOH_CCPLastSOH_pct,底层SOH标定值
KbSOH_BCUCalendarSw_flg,控制器日历时间使能
KeSOH_BCUCalendar_min,控制器日历时间标定
KlSOH_CCPSumDeltaAhSw_flg,使能写入E2的行车放电总安时
KlSOH_CCPSumDeltaAh_Ah,标定写入E2的行车放电总安时
KbSOH_CheckCodeSw_flg,标定checkcode
KuSOH_CheckCode_enum,标定checkcode
LuSOC_BattAgingFac_enum_ovrdval,标定电池系统老化系数
LuSOC_BattAgingFac_enum_ovrdflg,使能电池系统老化系数
LeSOC_AgingFacValid_ovrdflg,使能电池老化系数有效状态
LeSOC_AgingFacValid_ovrdval,标定电池老化系数有效状态
KIBCM_FchWrmSumTI_CT,退出快充保温累计时间阈值
LbSOC_OCVStatEna_enum_ovrdflg,OCV是能状态使能
LbSOC_OCVStatEna_enum_ovrdval,OCV是能状态标定
KbSOC_SmallCurrModDebug_flg,小电流时间标定使能
KbSOC_SemiOCVModDebug_flg,准静态时间开关
KbSOC_SOCRangeDebug_flg,当前温度SOC滤波开关
KlSOH_CCPMaxCapErr_Ah,标定小电流积分
KlSOH_CCPMaxCapErrSw_flg,使能小电流积分
KuSOH_CCPDispSOH_pct,原始SOH标定
KbSOH_CCPDispSOHSw_flg,原始SOH开关
KbBCM_BattSocSwitch_flg,液冷SOC标定开关
KfBCM_BattSocTest_pct,液冷SOC标定值
KbRTC_ChaReTimeSwt_flg,直流充电剩余时间标定开关
KuRTC_ChargeRemainTime_min,直流充电剩余时间标定值
KbSOC_CHGReTimeDebug_flg,使能充电剩余时间
KuSOC_CHGReTime_min,标定充电剩余时间
KbSOC_CVSOCAvlbTi1Debug_flg,使能剩余允许均衡时间1
KbSOC_CVSOCAvlbTi2Debug_flg,使能剩余允许均衡时间2
KbSOC_DownCurrStaDebug_flg,使能基于时间修正标志位
KbSOC_DownCurrSta_flg,标定基于时间修正标志位
KbSOC_CrossCurrModDebug_flg,恒流模式开关
KbDBGAL_RawSOC_pct_flg,SOC标定开关_TR
KbDBGVL_RawSOC_pct,SOC标定值_TR
KbDBGAL_flashstate_flg,BMS刷写标志位开关_TR
KbDBGVL_flashstate_flg,BMS刷写标志位_TR
KbCCS_ChaReTimeSwt_flg,快充内部直流充电剩余时间标定开关
KuCCS_ChargeRemainTime_min,快充内部直流充电剩余时间标定值
KbCCS_MLInPowDnTi_flg,整车断高压静置时间标定开关
KuCCS_MLInPowDnTi_min,整车断高压静置时间
KbDBGAL_CellVoltUnderErr_flg,欠压故障开关
KbDBGVL_CellVoltUnderErr_flg,欠压故障值
KbDBGAL_CellVoltOverErr_flg,单体过压开关
KbDBGVL_CellVoltOverErr_flg,单体过压值
KbDBGAL_InSumVoltOverErr_flg,总压过压开关
KbDBGVL_InSumVoltOverErr_flg,总压过压值
KbDBGAL_CellVoltUnbaErr_flg,单体电压不均衡开关
KbDBGVL_CellVoltUnbaErr_flg,单体电压不均衡值
KbDBGAL_BattExtShrtErr_flg,外部短路开关
KbDBGVL_BattExtShrtErr_flg,外部短路值
KbDBGAL_BattInShrtErr_flg,内部短路开关
KbDBGVL_BattInShrtErr_flg,内部短路值
KbDBGAL_TempOverErr_flg,温度过高开关
KbDBGVL_TempOverErr_flg,温度过高值
KbDBGAL_TempUnbaErr_flg,温度不均衡开关
KbDBGVL_TempUnbaErr_flg,温度不均衡值
KbDBGAL_TempRiseQuickErr_flg,温升过快开关
KbDBGVL_TempRiseQuickErr_flg,温升过快值
KbDBGAL_IsoWorstErr_flg,绝缘故障开关
KbDBGVL_IsoWorstErr_flg,绝缘故障值
KbDBGAL_ChgCurrOverErr_flg,充电电流过高开关
KbDBGVL_ChgCurrOverErr_flg,充电电流过高值
KbDBGAL_InterCANErr_flg,内部通讯故障开关
KbDBGVL_InterCANErr_flg,内部通讯故障值
KbDBGAL_ChgCANErr_flg,快充通讯故障开关
KbDBGVL_ChgCANErr_flg,快充通讯故障值
KbDBGAL_InSumVolErr_flg,内部电压检测故障开关
KbDBGVL_InSumVolErr_flg,内部电压检测故障值
KbDBGAL_ExtSumVoltErr_flg,外部电压检测故障开关
KbDBGVL_ExtSumVoltErr_flg,外部电压检测故障值
KbDBGAL_BMUEEErr_flg,eeprom故障开关
KbDBGVL_BMUEEErr_flg,eeprom故障值
